Title;Format;Year;Rating
xxxHOLiC Kei;TV;2008;4.4
Code Geass: Lelouch of the Rebellion Movie 3;Movie;2018;4.4
Maid-sama!;TV;2010;4.4
Girls und Panzer der Film;Movie;2015;4.4
Kaguya-sama: Love Is War;TV;2019;4.4
Tsubasa Chronicle: Tokyo Revelations;OVA;2007;4.4
One Piece;TV;1999;4.4
Durarara!!;TV;2010;4.4
In This Corner of the World;Movie;2016;4.4
Baccano! Specials;DVD Special;2008;4.39
xxxHOLiC Rou;OVA;2010;4.39
History's Strongest Disciple Kenichi;TV;2006;4.39
Hinamatsuri;TV;2018;4.39
JoJo's Bizarre Adventure (2012);TV;2012;4.39
Space Brothers;TV;2012;4.39
Hunter x Hunter OVA;OVA;2002;4.39
Natsume Yuujinchou;TV;2008;4.39
Death Parade;TV;2015;4.39
Hunter x Hunter OVA 2: Greed Island;OVA;2003;4.39
Hajime no Ippo: Mashiba vs Kimura;OVA;2003;4.39
Mobile Suit Gundam: Iron-Blooded Orphans 2;TV;2016;4.39
Youjo Senki: Saga of Tanya the Evil;TV;2017;4.39
Ghost in the Shell: Stand Alone Complex;TV;2002;4.39
Patema Inverted;Movie;2013;4.39
Detective Conan Movie 14: The Lost Ship in the Sky;Movie;2010;4.39
Gintama: Jump Festa 2008;Other;2008;4.39
When Marnie Was There;Movie;2014;4.39
Thunderbolt Fantasy: Sword Seekers 2;TV;2018;4.39
Mobile Suit Gundam 00 Second Season;TV;2008;4.39
Nodame Cantabile: Paris;TV;2008;4.39
The House of Small Cubes;Movie;2008;4.38
Hua Jianghu Zhi Huan Shi Men Sheng;TV;2017;4.38
Puella Magi Madoka Magica the Movie Part 3: Rebellion;Movie;2013;4.38
Haikyuu!! Movie 4: Battle of Concepts;Movie;2017;4.38
Trigun;TV;1998;4.38
Log Horizon;TV;2013;4.38
Overlord;TV;2015;4.38
Fate/stay night: Unlimited Blade Works Prologue;Other;2014;4.38
Redline;Movie;2009;4.38
Baby Steps 2;TV;2015;4.38
Non Non Biyori: Vacation;Movie;2018;4.38
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu;Movie;2008;4.38
Initial D Final Stage;TV;2014;4.38
Tokyo Godfathers;Movie;2003;4.38
Initial D Fourth Stage;TV;2004;4.38
Magi: Adventure of Sinbad;TV;2016;4.38
Full Metal Panic? Fumoffu;TV;2003;4.38
Aria the Origination;TV;2008;4.38
Spice and Wolf;TV;2008;4.38
Sekai-ichi Hatsukoi: World's Greatest First Love 2;TV;2011;4.37
Black Lagoon;TV;2006;4.37
Trigun: Badlands Rumble;Movie;2010;4.37
Quan Zhi Gao Shou;TV;2017;4.37
Lupin III: Part V;TV;2018;4.37
Gintama: Jump Festa 2014;Other;2014;4.37
Detective Conan Movie 6: The Phantom of Baker Street;Movie;2002;4.37
Wotakoi: Love is Hard for Otaku;TV;2018;4.37
Black Lagoon: Roberta's Blood Trail;OVA;2010;4.37
Beyond the Boundary Movie: I'll Be Here - Future;Movie;2015;4.37
Hozuki's Coolheadedness 2nd Season: Part II;TV;2018;4.37
March Comes in like a Lion;TV;2016;4.37
Working!!! Lord of the Takanashi;TV Special;2015;4.37
Junjou Romantica 2;TV;2008;4.37
ReLIFE;Web;2016;4.37
Welcome to the NHK!;TV;2006;4.37
Yowamushi Pedal: Grande Road;TV;2014;4.37
Durarara!! X2;TV;2015;4.37
Magical Girl Lyrical Nanoha: The Movie 2nd A's;Movie;2012;4.36
Whisper of the Heart;Movie;1995;4.36
Land of the Lustrous;TV;2017;4.36
Beck;TV;2004;4.36
A Certain Scientific Railgun S;TV;2013;4.36
Gintama;TV;2006;4.36
Ghost in the Shell: Stand Alone Complex - Solid State Society;Movie;2006;4.36
Made in Abyss: Hourou Suru Tasogare;Movie;2019;4.36
Natsume Yuujinchou Movie;Movie;2018;4.36
Overlord II;TV;2018;4.36
GATE (2016);TV;2016;4.36
Laputa: Castle in the Sky;Movie;1986;4.36
Nisemonogatari;TV;2012;4.36
Isekai no Seikishi Monogatari;OVA;2009;4.36
Miss Kobayashi's Dragon Maid;TV;2017;4.36
Hunter x Hunter;TV;1999;4.36
Blue Spring Ride: Page.13;OVA;2014;4.36
JoJo's Bizarre Adventure: Stardust Crusaders;TV;2014;4.36
Berserk: Golden Age Arc II - The Battle for Doldrey;Movie;2012;4.36
Darker than Black;TV;2007;4.36
Nichijou;TV;2011;4.36
Full Metal Panic! The Second Raid;TV;2005;4.36
Kamisama Kiss;TV;2012;4.35
Detective Conan Movie 13: The Raven Chaser;Movie;2009;4.35
Kino's Journey;TV;2003;4.35
Clannad;TV;2007;4.35
Noragami;TV;2014;4.35
Welcome to the Ballroom;TV;2017;4.35
Durarara!! X2 The Third Arc;TV;2016;4.35
Ghost in the Shell: Stand Alone Complex - The Laughing Man;Movie;2005;4.35
Jormungand: Perfect Order;TV;2012;4.35
The World God Only Knows: Goddesses Arc;TV;2013;4.35
Code Geass: Lelouch of the Rebellion Movie 1;Movie;2017;4.35
Non Non Biyori Repeat;TV;2015;4.35
Doupo Cangqiong 2nd Season;Web;2018;4.35
Rurouni Kenshin;TV;1996;4.35
Tsukimonogatari;TV Special;2014;4.35
Junjou Romantica 3;TV;2015;4.35
Working!!!;TV;2015;4.35
The Garden of Words;Movie;2013;4.35
Kuragehime;TV;2010;4.35
InuYasha: The Final Act;TV;2009;4.35
Detective Conan Movie 15: Quarter of Silence;Movie;2011;4.35
Daily Lives of High School Boys;TV;2012;4.35
Legend of the Galactic Heroes: A Hundred Billion Stars, A Hundred Billion Lights;OVA;1998;4.35
Assassination Classroom TV;TV;2015;4.35
Major: Message;OVA;2010;4.35
Megalo Box;TV;2018;4.35
The Tale of the Princess Kaguya;Movie;2013;4.35
Initial D Fifth Stage;TV;2012;4.34
"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero";DVD Special;2015;4.34
One Piece Film: Gold;Movie;2016;4.34
Bakuman.;TV;2010;4.34
Chihayafuru;TV;2011;4.34
Detective Conan Movie 18: The Sniper From Another Dimension;Movie;2014;4.34
Xing Chen Bian;Web;2018;4.34
Break Blade Movie 4: Sanka no Chi;Movie;2010;4.34
The Pet Girl of Sakurasou;TV;2012;4.34
Nurarihyon no Mago: Sennen Makyou;TV;2011;4.34
Laid-Back Camp;TV;2018;4.34
Millennium Actress;Movie;2001;4.34
Bakemonogatari;TV;2009;4.34
Kimi ni Todoke 2nd Season;TV;2011;4.34
Drifters;TV;2016;4.34
My Teen Romantic Comedy SNAFU TOO!;TV;2015;4.34
Made in Abyss: Tabidachi no Yoake;Movie;2019;4.34
From the New World;TV;2012;4.34
Durarara!! X2 The Second Arc;TV;2015;4.34
Night is Short, Walk On Girl;Movie;2017;4.34
Monthly Girls' Nozaki-kun;TV;2014;4.34
Nana;TV;2006;4.33
Kaiji 2;TV;2011;4.33
KonoSuba – God’s blessing on this wonderful world!! 2 OVA;OVA;2017;4.33
The Anthem of the Heart;Movie;2015;4.33
Terror in Resonance;TV;2014;4.33
Gintama: Dai Hanseikai;Other;2010;4.33
Kara no Kyoukai Movie 4: Garan no Dou;Movie;2008;4.33
Evangelion: 1.0 You Are (Not) Alone;Movie;2007;4.33
Magi: Adventure of Sinbad OVA;OVA;2014;4.33
The Seven Deadly Sins Movie: Prisoners of the Sky;Movie;2018;4.33
Seirei no Moribito;TV;2007;4.33
Bunny Drop Specials;DVD Special;2011;4.33
Puella Magi Madoka Magica the Movie Part 1: Beginnings;Movie;2012;4.33
Kiki's Delivery Service;Movie;1989;4.33
Gintama: Jump Festa 2015;Other;2015;4.33
Nekomonogatari (Black);TV;2012;4.33
Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai;Movie;2014;4.33
Fairy Tail;TV;2009;4.33
Sound! Euphonium 2;TV;2016;4.33
Hyperventilation;Web;2017;4.33
Banana Fish;TV;2018;4.33
Hajime no Ippo: The Fighting! Special;DVD Special;2003;4.33
Initial D Second Stage;TV;1999;4.32
xxxHOLiC Shunmuki;OVA;2009;4.32
Mobile Suit Gundam 00;TV;2007;4.32
The World God Only Knows II;TV;2011;4.32
Food Wars!: Toutsuki Juukketsu;OVA;2017;4.32
Chuunibyou Demo Koi ga Shitai! Movie: Take On Me;Movie;2018;4.32
Silver Spoon;TV;2013;4.32
Legend of the Galactic Heroes: Overture to a New War;Movie;1993;4.32
Berserk;TV;1997;4.32
Kimi ni Todoke;TV;2009;4.32
Break Blade Movie 5: Shisen no Hate;Movie;2011;4.32
Magi: The Labyrinth of Magic;TV;2012;4.32
Honey and Clover II;TV;2006;4.32
Planetes;TV;2003;4.32
School Rumble Ni Gakki;TV;2006;4.32
Youjo Senki: Saga of Tanya the Evil Movie;Movie;2019;4.32
The Eccentric Family 2;TV;2017;4.32
Hua Jianghu Zhi Ling Zhu;Web;2015;4.32
Detroit Metal City;OVA;2008;4.32
My Love Story!!;TV;2015;4.32
Hozuki's Coolheadedness 2nd Season;TV;2017;4.32
Little Busters! Refrain;TV;2013;4.32
The Secret World of Arrietty;Movie;2010;4.32
Kara no Kyoukai: Mirai Fukuin;Movie;2013;4.32
Mononoke;TV;2007;4.32
Noragami Aragoto OVA;OVA;2015;4.32
Mobile Suit Gundam Unicorn;OVA;2010;4.31
Ghost in the Shell: Stand Alone Complex - Individual Eleven;Movie;2006;4.31
GATE;TV;2015;4.31
Saint Seiya: The Lost Canvas - Meiou Shinwa 2nd Chapter;OVA;2011;4.31
Free! Take Your Marks;Movie;2017;4.31
Detective Conan Movie 8: Magician of the Silver Sky;Movie;2004;4.31
Break Blade Movie 3: Kyoujin no Ato;Movie;2010;4.31
Ghost in the Shell;Movie;1995;4.31
Rurouni Kenshin: Seisouhen;OVA;2001;4.31
Hanamonogatari;TV Special;2014;4.31
Tentai Senshi Sunred 2;TV;2009;4.31
Is It Wrong to Try to Pick Up Girls in a Dungeon? Movie: Arrow of the Orion;Movie;2019;4.31
The Wind Rises;Movie;2013;4.31
Free! Eternal Summer Special;DVD Special;2015;4.31
Meng Qi Shi Shen;Web;2018;4.31
Grand Blue;TV;2018;4.31
Tokyo Magnitude 8.0;TV;2009;4.31
Shirobako;TV;2014;4.31
Legend of the Galactic Heroes: Spiral Labyrinth;OVA;1999;4.3
Asagao to Kase-san. (2018);OVA;2018;4.3
Eden of the East;TV;2009;4.3
"One Piece: ""3D2Y""";TV Special;2014;4.3
One-Punch Man: Road to Hero;OVA;2015;4.3
Tokyo Ghoul;TV;2014;4.3
Snow White with the Red Hair;TV;2015;4.3
Code Geass: Lelouch of the Rebellion Movie 2;Movie;2018;4.3
KonoSuba – God's blessing on this wonderful world!!;TV;2016;4.3
Prince of Tennis: National Championship Final;OVA;2008;4.3
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Part 1);Movie;2007;4.3
Little Witch Academia TV;TV;2017;4.3
Slayers Next;TV;1996;4.3
Blood Blockade Battlefront & Beyond;TV;2017;4.3
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna;TV Special;2012;4.3
Kamisama Kiss OVA;OVA;2013;4.3
Fullmetal Alchemist: Brotherhood Specials;DVD Special;2009;4.3
Detective Conan Movie 5: Countdown to Heaven;Movie;2001;4.3
Yowamushi Pedal;TV;2013;4.3
Hozuki's Coolheadedness OVA 2;OVA;2017;4.3
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari;TV Special;2013;4.3
Bungou Stray Dogs Movie: Dead Apple;Movie;2018;4.3
Space Dandy 2;TV;2014;4.29
Darker than Black: Kuro no Keiyakusha Gaiden;DVD Special;2010;4.29
Clannad: Another World, Tomoyo Chapter;DVD Special;2008;4.29
Kemono no Souja Erin;TV;2009;4.29
History's Strongest Disciple Kenichi OVA;OVA;2012;4.29
Is It Wrong to Try to Pick Up Girls in a Dungeon?;TV;2015;4.29
Goblin Slayer;TV;2018;4.29
Kokoro Connect: Michi Random;TV Special;2012;4.29
Tsubasa Shunraiki;OVA;2009;4.29
Detective Conan Movie 3: The Last Magician of the Century;Movie;1999;4.29
Yu Yu Hakusho;TV;1992;4.29
Working'!!;TV;2011;4.29
Tamayura: Sotsugyou Shashin Movie 4 - Ashita;Movie;2016;4.29
Gintama: Jump Festa 2005;OVA;2005;4.29
Sword Art Online: Alicization;TV;2018;4.29
Castlevania;Web;2017;4.29
Aggressive Retsuko (2018);Web;2018;4.29
Hozuki's Coolheadedness OVA;OVA;2015;4.29
High ☆ Speed! - Free! Starting Days -;Movie;2015;4.29
Assassination Classroom: Extracurricular Lesson;Web;2016;4.29
Legend of the Galactic Heroes: My Conquest is the Sea of Stars;Movie;1988;4.29
Kuroko's Basketball: Tip Off;DVD Special;2013;4.29
Ookiku Furikabutte: Natsu no Taikai-hen;TV;2010;4.28
Kaiji;TV;2007;4.28
Major Movie: Yuujou no Winning Shot;Movie;2008;4.28
Death Billiards;Movie;2013;4.28
Junjou Romantica OVA 2;OVA;2015;4.28
Haikyuu!!: Jump Festa 2015 Special;Other;2015;4.28
