Title;Format;Year;Rating
BASToF Syndrome;TV;2001;2.54
Space Battleship Tiramisu Specials;DVD Special;2018;2.54
"Say ""I love you."" - Mei and Marshmallow";DVD Special;2012;2.54
Ashita e Free Kick;TV;1992;2.54
Fantasista Stella;OVA;2014;2.53
Karate Master;TV;1973;2.53
Diabolik Lovers More, Blood;TV;2015;2.53
Okoshiyasu, Chitose-chan;TV;2018;2.53
Metal Skin Panic MADOX-01;OVA;1988;2.53
Rokudenashi Blues 1993;Movie;1993;2.53
Tantei Opera Milky Holmes: Arsene - Karei naru Yokubou;TV Special;2017;2.53
Goblin Slayer: Adventure Sheet;TV Special;2018;2.53
Wild Adapter;OVA;2014;2.53
Voltes V Movie;Movie;1983;2.53
Yasashii March: The Tender March;Music Video;2012;2.53
Vatican Miracle Examiner;TV;2017;2.53
Ima, Futari no Michi;TV Special;2015;2.53
Koro Koro Kuririn no Inaka no Nezumi Tokai no Nezumi;OVA;2001;2.53
Irodorimidori: Very! Merry!! Session!!!;Music Video;2018;2.53
Haikyuu!! Quest Picture Drama;Other;2014;2.53
Senran Kagura Specials;DVD Special;2013;2.53
Ryo;Movie;2013;2.53
Binchou-tan Movie;OVA;2005;2.53
ICE Movie;Movie;2008;2.53
Ghost in the Shell Arise Episode: [.jp];Other;2013;2.53
Dream Theater: Forsaken;Music Video;2008;2.53
Isuca: Gokuraku;OVA;2015;2.53
Lime-iro Senkitan;TV;2003;2.53
Rokushin Gattai God Mars;TV;1981;2.53
Princess Principal Picture Drama;DVD Special;2017;2.53
Yui Aragaki: piece;Music Video;2009;2.53
Pinocchio-P: Yozurina;Music Video;2018;2.53
Bakuon!! no Kobeya;DVD Special;2016;2.53
Yume Oukoku to Nemureru 100 Nin no Ouji-sama: Short Stories;Web;2017;2.53
Dr. Slump Movie 10: Arale no Bikkuriman;Movie;1999;2.53
Paul no Miracle Dai Sakusen;TV;1976;2.53
Tang Lang Bu Chan;Movie;1988;2.53
Raldessia Chronicles CM;Other;2013;2.53
A Piece of Phantasmagoria;OVA;1995;2.53
Dogtato-kun;TV;2004;2.53
Shoka;TV Special;2010;2.53
Platinumhugen Ordian;TV;2000;2.53
Heavy Metal L-Gaim II: Farewell My Lovely + Pentagona Doors;OVA;1987;2.53
Poppin' Party: Happy Happy Party!;Music Video;2017;2.53
Wan Wan Serepuu Soreyuke! Tetsunoshin;TV;2006;2.52
Combustible Campus Guardress;OVA;1993;2.52
Hengen Taima Yakou Karura Mau! Nara Onryou Emaki;Movie;1989;2.52
Leviathan: The Last Defense;TV;2013;2.52
Bio Hunter;OVA;1995;2.52
Nanairo Kakumei;TV Special;2015;2.52
Chinpui;TV;1989;2.52
Speed Racer X;TV;1997;2.52
Shinkai no Kantai: Submarine 707;OVA;1997;2.52
Dorei-ku The Animation;TV;2018;2.52
Blue Seed Beyond Omake;DVD Special;1996;2.52
Jewel BEM Hunter Lime;OVA;1996;2.52
Busou Shinki: Armored War Goddess;TV;2012;2.52
Night on the Galactic Railroad: Fantasy Railroad in the Stars;OVA;2006;2.52
Dead Heat;OVA;1987;2.52
Maris the Chojo;OVA;1986;2.52
Himitsu no Akko-chan Movie;Movie;1989;2.52
Mai-Otome: Otome no Inori;DVD Special;2010;2.52
Muybridge's Strings;Movie;2011;2.52
Ben-To Picture Drama;DVD Special;2011;2.52
Konohana no Sakuya Mori;Web;2014;2.52
Muv-Luv Alternative: Total Eclipse - Pre-Climax Special;TV Special;2012;2.52
Bomberman B-Daman Bakugaiden V;TV;1999;2.52
Queen's Blade: The Exiled Virgin Specials;DVD Special;2009;2.52
Aya Uchida: Dive to Blue;Music Video;2016;2.52
Kano: Prima Stella;Music Video;2016;2.52
Isuca;TV;2015;2.52
X Japan: Rusty Nail;Music Video;1994;2.52
Neko mo, Ondake;TV;2016;2.52
Getsumen To Heiki Mina Specials;DVD Special;2006;2.52
Darkside Blues;Movie;1994;2.52
Kaijuu Girls 2nd Season;TV;2018;2.52
Goldfish Warning! Movie;Movie;1992;2.52
Eiji;OVA;1990;2.51
Offside OVA;OVA;1993;2.51
Hitomi no Naka no Shounen: 15 Shounen Hyouryuuki;TV Special;1987;2.51
Pinocchio-P: Bokura wa Minna Imi Fumei;Music Video;2017;2.51
Mobile Suit SD Gundam Mk IV;OVA;1990;2.51
Tamako Market Specials;DVD Special;2013;2.51
Tesagure! Bukatsumono;TV;2013;2.51
Sekai Meisaku Douwa Series: Wow! Maerchen Oukoku;TV;1994;2.51
Queen's Blade: The Exiled Virgin;TV;2009;2.51
Senran Kagura;TV;2013;2.51
Shizuku;Movie;1965;2.51
Apfelland Monogatari;Movie;1992;2.51
Miss Bernard said. Special;DVD Special;2016;2.51
Ninpuu Kamui Gaiden;TV;1969;2.51
Tekkaman Blade: Missing Link;OVA;1998;2.51
Riki-Oh;OVA;1989;2.51
Hana Hen;Other;2010;2.51
E.Y.E.S. of Mars;Movie;1993;2.51
Oyayubi Hime Monogatari;TV;1992;2.51
Petit Gargantia;Web;2013;2.51
Sin Strange+;TV;2014;2.51
Futaridaka;TV;1984;2.51
Early Reins;OVA;2003;2.51
RPG Densetsu Hepoi;TV;1990;2.51
Nem: Yumekui Shirokuro Baku;Music Video;2011;2.51
Katana Maidens: Mini Toji;TV;2019;2.51
Caligula;TV;2018;2.51
Magical Girl Lalabel: the Sea Calls for a Summer Vacation;Movie;1980;2.51
B-Legend! Battle B-Daman;TV;2004;2.51
Nine;TV Special;1983;2.51
Honey Honey no Suteki na Bouken;TV;1981;2.51
Cyborg 009: The Reopening;Other;2010;2.51
Happy World!;OVA;2002;2.51
Ningyo Hime Marina no Bouken;TV;1991;2.51
Dragoon;OVA;1997;2.51
Shin Obake no Q-Tarou;TV;1971;2.51
The Lost Village;TV;2016;2.51
Otome Youkai Zakuro Picture Drama;DVD Special;2010;2.51
Crayon Shin-chan Movie 26: Bakumori! Kung-Fu Boys - Ramen Tairan;Movie;2018;2.5
Curly;Web;2014;2.5
Eureka Seven Ao: Aratanari Fukaki Ao;Web;2012;2.5
Nurarihyon no Mago Recaps;TV Special;2010;2.5
100 Sleeping Princes & the Kingdom of Dreams;TV;2018;2.5
Sorcerer On The Rocks;OVA;1999;2.5
Elemental Gelade: Aozora no Senki;Music Video;2005;2.5
Kobu-tori;Movie;1929;2.5
Battle Royal High School;OVA;1987;2.5
Komaneko no Christmas: Maigo ni Natta Present;Movie;2009;2.5
Paroru to Miraijima;Movie;2014;2.5
Larva;TV;2011;2.5
Irodorimidori: Polka Dot;Music Video;2018;2.5
Irodorimidori: Neko Matsuri;Music Video;2017;2.5
Shin Koihime Musou OVA Omake;DVD Special;2010;2.5
Melody;Web;2008;2.5
HoneyWorks: Kawaiku Naritai;Music Video;2017;2.5
Lord of Lords Ryu Knight: Adeu's Legend II;OVA;1995;2.5
MAPS;OVA;1994;2.5
Corpse Party: Missing Footage;OVA;2012;2.5
Princess Principal: Ange Report;TV Special;2017;2.5
Haiyoru! Nyaru-ani: Remember My Love (craft-sensei) Special;DVD Special;2011;2.5
Duel Masters Victory;TV;2011;2.5
Xuan Yuan Sword Luminary;TV;2018;2.5
Monster Strike: Rain of Memories;Web;2016;2.5
Busou Chuugakusei: Basket Army;Web;2011;2.5
Pucca (2008);TV;2008;2.5
Chou Hatsumei Boy Kanipan;TV;1999;2.5
Hatsumei Boy Kanipan;TV;1998;2.5
Teekyuu 7 Specials;DVD Special;2016;2.5
Weiss Survive;TV;2009;2.5
Gakumon! Ookami Shoujo wa Kujikenai Special;Web;2014;2.5
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (2015);Other;2015;2.5
livetune: DECORATOR;Music Video;2014;2.5
Avenger;TV;2003;2.5
Little Lulu to Chicchai Nakama;TV;1976;2.49
Ichirin-Sha;Other;2010;2.49
Gokujo. Gokurakuin Joshikou Ryou Monogatari: Souda Onsen ni Ikou!!;DVD Special;2013;2.49
Lu Shidai;Web;2013;2.49
revisions;TV;2019;2.49
Denshin Denrei Denwa;Movie;1931;2.49
Aki Sora;OVA;2009;2.49
Battery;TV;2016;2.49
Welcome to Pia Carrot ~Sayaka's Love Story~;OVA;2002;2.49
Crystal Blaze;TV;2008;2.49
First Squad;Music Video;2005;2.49
Akuemon;OVA;1993;2.49
22/7: Boku wa Sonzai Shiteinakatta;Music Video;2017;2.49
Yuyoyuppe: Leia;Music Video;2010;2.49
Love Love?;TV;2004;2.49
Saint Seiya: Saintia Shou;Web;2018;2.49
_summer;OVA;2006;2.49
Doukyuusei 2 Special: Sotsugyousei;OVA;1999;2.49
Taneyamagahara no Yoru;Movie;2006;2.49
phatmans after school: 7-kakan;Music Video;2015;2.49
Keifuku-san;Web;2017;2.49
UFO Senshi Dai Apolon;TV;1976;2.49
Kaiketsu Zorori (1993);Movie;1993;2.49
Elf 17;OVA;1987;2.49
Clockwork Fighters: Hiwou's War;TV;2000;2.49
Pokemon: Pikachu Tanken Club;Other;2007;2.49
Fully cooked for you;Web;2011;2.49
Tokyo Loop;Movie;2006;2.49
Tokimeki Tonight Recaps;TV Special;1988;2.49
Hoshizora Kiseki;Web;2006;2.49
Mr. Children: Himawari;Music Video;2017;2.49
AIKa R-16: Virgin Mission;OVA;2007;2.49
Horizon in the Middle of Nowhere Special;DVD Special;2018;2.49
Ebiten: Ebisugawa Public High School's Tenmonbu;Web;2012;2.49
Yuki no Hi no Tayori;Music Video;1978;2.49
Nara Shika Monogatari;Web;2004;2.49
Anime Tenchou;OVA;2002;2.49
Aoku Tsuzuku Pass;Web;2018;2.48
Kyoto Animation Koushiki Twitter: Itsumo Arigatou;Web;2016;2.48
Twilight of the Cockroaches;Movie;1987;2.48
Tadaima;Movie;2017;2.48
Hanaori;Movie;1968;2.48
Modern No.2;Movie;2011;2.48
Fuma no Kojirou: Seiken Sensou-hen;OVA;1990;2.48
Sailor Victory;OVA;1995;2.48
Comet Lucifer;TV;2015;2.48
Tokyo 7th Sisters: Bokura wa Aozora ni Naru / FUNBARE☆RUNNER;Music Video;2015;2.48
Transformers: Energon Special;TV Special;2004;2.48
HoneyWorks: Hajimari no Sayonara;Music Video;2013;2.48
Hotaru Kagayaku;OVA;1991;2.48
Honey x Honey Drops;OVA;2006;2.48
Gulliver no Uchuu Ryokou;Movie;1965;2.48
Flying House;TV;1982;2.48
Refrain Blue;OVA;2000;2.48
Manabu no Natsuyasumi;OVA;2005;2.48
Haiyoru! Nyaru-Ani;Web;2010;2.48
Karasu Tengu Kabuto;TV;1990;2.48
Luna Varga;OVA;1991;2.48
Bakugan Battle Brawlers: Mechtanium Surge;TV;2011;2.48
Hakushon Daimaou;TV;1969;2.48
Powapowa-P: Strobe Light;Music Video;2011;2.48
King of Prism by Pretty Rhythm;Movie;2016;2.48
Mister Ajikko Special;TV Special;1989;2.48
Sengoku Collection;TV;2012;2.48
Flint, the Time Detective;TV;1998;2.48
Kidou Shinsengumi Moeyo Ken;OVA;2003;2.48
Spirit Warrior 2;OVA;1994;2.48
Thumbelina: A Magical Story;Movie;1993;2.48
Heidi Pilot;TV Special;1967;2.48
Yu-Gi-Oh! Zexal;TV;2011;2.48
91 Daze;DVD Special;2016;2.47
Komori-san Can't Decline!;TV;2015;2.47
Idol Tenshi Youkoso Yoko;TV;1990;2.47
Jewelpet Movie: Sweets Dance Princess;Movie;2012;2.47
Record of Grancrest War: Reminiscence;TV Special;2018;2.47
DD Hokuto no Ken;TV;2011;2.47
Adachigahara;Movie;1991;2.47
Gall Force 6: New Era;OVA;1991;2.47
Chou Akuukan Bouheki Cheese Napolitan;Web;2013;2.47
Beyblade: Shogun Steel;TV;2012;2.47
Ayumayu Theater;Web;2006;2.47
Baoh;Movie;1989;2.47
Mobile Suit SD Gundam Mk V;OVA;1990;2.47
Teekyuu 6 Specials;DVD Special;2016;2.47
Monster Strike;Web;2015;2.47
Akane Maniax;OVA;2004;2.47
Channel 5.5 4th Season Prologue;Other;2014;2.47
Dengeki Bunko 2007 Movie Festival Special;Other;2007;2.47
Shanshui Qing;Movie;1988;2.47
Stray Sheep Poe no Chicchana Daibouken;TV;2001;2.47
Ichi the Killer: Episode 0;OVA;2002;2.47
Fireball Humorous;TV;2017;2.47
Oishinbo: Kyuukyoku Tai Shikou, Chouju Ryouri Taiketsu!!;TV Special;1992;2.47
Ultraman Kids no Kotowaza Monogatari;TV;1986;2.47
JoJo's Bizarre Adventure: Golden Wind Recaps;TV Special;2019;2.47
DECO*27: Ni Soku Ho Kou;Music Video;2011;2.47
Sword Dynasty;Web;2017;2.47
Bride of Deimos;OVA;1988;2.47
Rerere no Tensai Bakabon;TV;1999;2.47
School Days: Valentine Days;OVA;2008;2.47
Hajime Ningen Gyatoruz;TV;1974;2.47
Sengoku Night Blood;TV;2017;2.47
Monster Sonic! D'Artagnan no Idol Sengen;Web;2017;2.46
Blue Dragon;TV;2007;2.46
Puzzle & Dragons CM;Web;2015;2.46
Geisters: Fractions of the Earth;TV;2001;2.46
Catman;Web;2002;2.46
Mobile Suit Gundam-san;TV;2014;2.46
Ane Log;OVA;2014;2.46
Kagami no Genon;Movie;2004;2.46
Kyouryuu Daisensou Aizenborg;TV;1977;2.46
Mahou no Idol Pastel Yumi;TV;1986;2.46
Overlord 6: Drama CD-tsuki Tokusou-ban - Yokoku-hen;Other;2014;2.46
GeGeGe no Kitarou: Kitarou no Yuurei Densha;Movie;1999;2.46
Kitsunetsuki: Kedamonodamono;Music Video;2018;2.46
Uchuujin Tanaka Tarou;TV;2000;2.46
Sougen no Ko Tenguri;Movie;1977;2.46
The Wonderful Wizard of Oz;TV;1986;2.46
Sengoku Choujuu Giga;TV;2016;2.46
SD Gundam Sangokuden Brave Battle Warriors;TV;2010;2.46
Touka Gettan;TV;2007;2.46
Gokujo. Gokurakuin Joshikou Ryou Monogatari;TV;2012;2.46
Calimero;TV;1974;2.46
Moyashimon CGI Anime;OVA;2010;2.46
Nanocore 2016 Xinnian Tebie Ban;Music Video;2016;2.46
Kano: nameless;Music Video;2016;2.46
Madonna;OVA;1988;2.46
Full Metal Panic! Invisible Victory - Intermission;TV Special;2018;2.46
Duel Masters: Curse of the Deathphoenix;Movie;2005;2.46
Red Ash -Gearworld-;Movie;2017;2.46
Duel Masters Victory V;TV;2012;2.46
Chiisana Oji-san;TV;2012;2.46
Bomberman Jetters;TV;2002;2.46
Machine Robo: Revenge of Chronos;TV;1986;2.46
I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job. Specials;DVD Special;2014;2.46
Code Geass: Lelouch of the Rebellion R2 Flash Specials;DVD Special;2008;2.46
Monster Strike: The Long-Awaited Utopia;Web;2017;2.46
Patalliro! Stardust Keikaku;Movie;1983;2.46
Ace wo Nerae! 2;OVA;1988;2.46
Rang Wo Men Shao Ba;Web;2018;2.46
Jinriki Senkan!? Shiokaze Sawakaze;Web;2017;2.46
Colorful Ninja Iromaki;Movie;2016;2.46
Mangirl! Asobu Henshuu Girl;DVD Special;2013;2.45
Eguchi Hisashi no Nantoka Narudesho!;OVA;1990;2.45
Super Doll Licca-chan;TV;1998;2.45
Ai Mai Mii: Surgical Friends;TV;2017;2.45
Uchuusen Sagittarius;TV;1986;2.45
Duel Masters Cross Shock;TV;2010;2.45
Raven Tengu Kabuto: The Golden-Eyed Beast;OVA;1992;2.45
Heavy Metal L-Gaim I: Pentagona Window + Lady Gavlet;OVA;1986;2.45
Shin Minashigo Hutch;TV;1974;2.45
Pretty Rhythm: All Star Selection;TV;2014;2.45
Magical Meow Meow Taruto;TV;2001;2.45
Bad Badtz-Maru In The Ants and the Grasshopper;OVA;2001;2.45
Himitsu no Akko-chan: Umi da! Obake da!! Natsu Matsuri;Movie;1989;2.45
Dallos;OVA;1983;2.45
Classroom☆Crisis Special;DVD Special;2015;2.45
Mad Bull;OVA;1990;2.45
Himitsu no Akko-chan 3;TV;1998;2.45
Kaichuu!;Web;2010;2.45
Donyatsu;Web;2013;2.45
Haiyoru! Nyaru-ani: Remember My Love(craft-sensei);TV;2010;2.45
A New Journey;Web;2019;2.45
Mobile Suit Gakuen: G-Reco Koushien;DVD Special;2014;2.45
Marie & Gali;TV;2009;2.45
Chou Supercar Gattiger;TV;1977;2.45
Bakugan Battle Brawlers: Gundalian Invaders;TV;2010;2.45
mothy: Nemesis no Juukou;Music Video;2014;2.45
A-Girl;OVA;1993;2.45
Bobobo-bo Bo-bobo;TV;2003;2.45
Trick or Alice;OVA;2016;2.45
Wild 7;OVA;1994;2.45
Chou Denei-ban SD Gundam Sangokuden Brave Battle Warriors;Movie;2010;2.45
Kagewani;TV;2015;2.45
Dededen;Web;2015;2.44
Ganso Tensai Bakabon;TV;1975;2.44
TsukiPro the Animation;TV;2017;2.44
Dragon's Heaven;OVA;1988;2.44
Stratos 4 OVA: Stratos 4.1 - Dutch Roll;DVD Special;2004;2.44
Cinderella Boy;TV;2003;2.44
Moldiver;OVA;1993;2.44
Shisha no Sho;Movie;2005;2.44
Uchuusen Sagittarius Pilot;Other;1982;2.44
Red Dracul Scar Tissue x Jazztronik: Answer;Music Video;2012;2.44
Andersen Monogatari Match Uri no Shojo;Movie;1968;2.44
Alice in the Country of Hearts: Wonderful Wonder World;Movie;2011;2.44
Nisshin Seifun Group CM;Other;2010;2.44
Last Period: the journey to the end of the despair;TV;2018;2.44
World Fool News Part II;TV;2017;2.44
Dongguo Xiaojie;Web;2016;2.44
Najica Blitz Tactics;TV;2001;2.44
Adventures of the Little Koala;TV;1984;2.44
Tomoko Oshima: Tadaima.;Other;2017;2.44
Taisei Kensetsu: Singapore;Other;2018;2.44
Zendaman;TV;1979;2.44
Fujilog;TV;2011;2.44
Zero Duel Masters;TV;2007;2.44
Kid Icarus;Other;2012;2.44
Berserk (2017): Recollections of the Witch;TV Special;2017;2.44
Chu-Bra!!;TV;2010;2.44
A crow is white: Himitsu Spark;Music Video;2014;2.44
Viewtiful Joe;TV;2004;2.44
Maihime;OVA;2006;2.44
Frame Arms Girl;TV;2017;2.44
Kikumana;Other;2001;2.44
Recorder and Randsell Mi Special;DVD Special;2013;2.44
Circlet Princess;TV;2019;2.44
Ayane's High Kick;OVA;1996;2.44
Fuma no Kojirou: Fuma Hanran-hen;OVA;1992;2.44
Rain, the Little Girl, and My Letter;Web;2005;2.44
Kami Nomi Kakushi;Web;2017;2.44
The Cherry Tree;OVA;1983;2.44
Iczer 3;OVA;1990;2.43
Saint Beast;TV;2003;2.43
The Adventures of Peter Pan;TV;1989;2.43
ClariS: Luminous;Music Video;2012;2.43
Rage of Bahamut: Genesis - Roundup;TV Special;2014;2.43
Shin Koihime Musou: Otome Tairan OVA Omake;DVD Special;2011;2.43
Zhongguo Jingqi Xiansheng;Web;2014;2.43
Mobile Suit Gundam: More Information on the Universal Century;Other;1996;2.43
Aa Harimanada;TV;1992;2.43
Maya the Bee;TV;1975;2.43
Monsuno;TV;2012;2.43
Heidi: Alm no Yama Hen;OVA;1996;2.43
Sin Strange+ Special;DVD Special;2014;2.43
Samurai Gun;TV;2004;2.43
Chou Seimeitai Transformers Beast Wars Metals: Convoy Daihenshin!;Movie;1999;2.43
Kusatta Kyoushi No Houteishiki;OVA;1993;2.43
ēlDLIVE;TV;2017;2.43
Tamagotchi! Miracle Friends;TV;2013;2.43
Kizuna (Tekken);Web;2012;2.43
Wrath of the Ninja;Movie;1989;2.43
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan;Movie;2007;2.43
Doki Doki School Hours Specials;DVD Special;2004;2.43
Asobi ni Iku yo! Asobi ni Oide Special;DVD Special;2011;2.43
Video Senshi Laserion;TV;1984;2.43
Mitsume ga Tooru;TV;1990;2.43
Sora Iro no Tane;Other;1992;2.43
Tegami: Haikei Juugo no Kimi e;Music Video;2008;2.43
Mini Vanguard 2;TV;2015;2.43
Princess Lover! Magical Knight Maria-chan;DVD Special;2009;2.43
Pinocchio-P: SAYONARA HUMAN;Music Video;2016;2.43
Ninku: The Movie;Movie;1995;2.43
Idaten Jump;TV;2005;2.43
Genocyber;OVA;1994;2.43
Canvas ~Motif of Sepia~;OVA;2001;2.43
Akahori Gedou Hour Rabuge: Zettai Seigi Love Pheromone;TV;2005;2.43
D4 Princess;TV;1999;2.42
Hitori no Shita: The Outcast Recap;TV Special;2018;2.42
Aoi Sekai no Chuushin de;TV Special;2012;2.42
Handsome Girl;OVA;1991;2.42
Yubi wo Nusunda Onna;Movie;2010;2.42
Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou;DVD Special;2009;2.42
DECO*27: Fakery Tale;Music Video;2013;2.42
TV-ban Pokemon Special Masara Town-hen Recaps;OVA;2000;2.42
Cosplay Complex;OVA;2002;2.42
Umi no Triton Movie;Other;1979;2.42
Hacka Doll the Animation;TV;2015;2.42
Q Transformers: Saranaru Ninkimono e no Michi;Web;2015;2.42
Joe vs. Joe;OVA;2003;2.42
Chuuko Video-ya no Onna Tenin X;Web;2016;2.42
Runningman;Web;2012;2.42
KADO: The Right Answer - Ekwari;TV Special;2017;2.42
Nayuta;OVA;1986;2.42
A Time Slip of 10000 Years: Prime Rose;TV Special;1983;2.42
Fables of the Green Forest;TV;1973;2.42
GeGeGe no Kitarou: Chisougan;Movie;1980;2.42
ClariS: irony;Music Video;2010;2.42
G-9;OVA;2006;2.42
Michel;TV;2003;2.42
Yuuki Yuuna is a Hero: Baton of Courage;Music Video;2016;2.42
Tottoi;Movie;1992;2.42
Gakkatsu! 2nd Season;TV;2013;2.42
Locke the Superman: Mirror Ring;OVA;2000;2.42
Nulu-chan and Me;Web;2012;2.42
Spider Riders;TV;2006;2.42
Duel Masters Cross;TV;2008;2.42
Gude Crest - The Emblem of Gude;OVA;1990;2.42
Graduation;OVA;1995;2.42
Chitose Get You!!;TV;2012;2.42
Getsumen To Heiki Mina;TV;2007;2.42
Babel II;TV;1973;2.41
Hime-sama Goyoujin;TV;2006;2.41
Kasumin 3rd Season;TV;2003;2.41
Princess Tutu Recaps;Other;2002;2.41
Otome Nadeshiko Koi Techou;OVA;2012;2.41
Tuzki: Love Assassin;Web;2014;2.41
SOS! Tokyo Metro Explorers: The Next;Movie;2007;2.41
Nem: virgin suicides;Music Video;2011;2.41
Tristia of the Deep Blue Sea;OVA;2003;2.41
Okaeri;Movie;2017;2.41
Ohayo! Spank Movie;Movie;1982;2.41
Tsuru: Asa ga Kuru mae ni ~Sasurai Version~;Music Video;2010;2.41
Queen's Blade: Rebellion Specials;DVD Special;2012;2.41
Battle Spirits: Saikyou Ginga Ultimate Zero;TV;2013;2.41
The Adventures of Kotetsu;OVA;1996;2.41
kemu: Invisible;Music Video;2014;2.41
Hashi no Mukou;Web;2012;2.41
Big Order;TV;2016;2.41
Maeterlinck's Blue Bird;TV;1980;2.41
Mao-chan;TV;2002;2.41
Fantasista Doll;TV;2013;2.41
Game Center Arashi;TV;1982;2.41
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space;Other;1992;2.41
Konchuu Monogatari Minashigo Hutch;TV;1970;2.41
Brain Powerd;TV;1998;2.41
Hokkyoku no Muushika Miishika;Movie;1979;2.41
Babel II OVA;OVA;1992;2.41
TOHO Cinemas x One Piece Film: Gold - Tokubetsu Eizou;Other;2016;2.41
Monster Strike 2nd Season;Web;2017;2.41
Nem: Angelfish;Music Video;2014;2.41
Capricorn;OVA;1991;2.41
Yatterman (2008);TV;2008;2.41
GeGeGe no Kitarou: Nippon Bakuretsu!!;Movie;2008;2.41
Take the X Train;OVA;1987;2.41
Bronze Cathexis Koji Nanjo;OVA;1994;2.4
Tokyo Project;OVA;1988;2.4
Kero Kero Keroppi no Christmas Eve no Okurimono;OVA;1992;2.4
Miyuki-chan in Wonderland;OVA;1995;2.4
Colorful;TV;1999;2.4
Sonic X Pilot;Other;2001;2.4
Eternal Alice;TV;2006;2.4
Neko Hiki no Ororane;OVA;1992;2.4
Shining Hearts Specials;DVD Special;2012;2.4
Tottoko Hamtaro Dechu;TV;2011;2.4
Makyou Densetsu Acrobunch;TV;1982;2.4
Genji Tsuushin Agedama;TV;1991;2.4
Lovely Idol;TV;2006;2.4
Meisou! Underworld;Web;2014;2.4
Wonder 3;TV;1965;2.4
Piace: Watashi no Italian;TV;2017;2.4
Four Day Weekend;Music Video;1998;2.4
Nakedyouth;Other;2006;2.4
Play Ball 2nd;TV;2006;2.4
Queen's Blade: Vanquished Queens;OVA;2013;2.4
Wooser no Sono Higurashi;TV;2012;2.4
Jakusansei Million Arthur Specials;Other;2016;2.4
Nem: Kaitou Peter & Jenny;Music Video;2012;2.4
Teekyuu 9 Specials;DVD Special;2017;2.4
Dororon Enma-kun;TV;1973;2.4
Maicching Machiko-sensei;TV;1981;2.4
Makkuramori no Uta;Music Video;1985;2.4
Meiko Haigo: Dore Dore no Uta;Music Video;2005;2.4
HoneyWorks: Suki Kirai;Music Video;2012;2.4
Yu-Gi-Oh! Zexal II: Midokoro Tenkomori Special;TV Special;2012;2.4
Twilight of the Dark Master;OVA;1997;2.4
9mm Parabellum Bullet: Setsuna Drive;Music Video;2014;2.4
Ai wo Komete;Web;2015;2.4
Master Hamsters;TV;2007;2.4
SD Gundam Sidestory;OVA;1990;2.4
Toji no Miko: Kizamishi Issen no Tomoshibi;Other;2018;2.4
Yamishibai: Japanese Ghost Stories 4th Season;TV;2017;2.4
Miss Monochrome: Manager;OVA;2014;2.39
Gijinka de Manabo!;Other;2016;2.39
Sin: Nanatsu no Taizai - Zange-roku Specials;DVD Special;2017;2.39
Saishuu Shiken Kujira Progressive;OVA;2008;2.39
Fire Emblem;OVA;1996;2.39
Mori no Tonto-tachi;TV;1984;2.39
Insufficient Direction;TV;2014;2.39
All That Gundam;Other;1989;2.39
Larva: House;TV;2013;2.39
Irodorimidori: My Dearest Song;Music Video;2016;2.39
Usaru-san;TV Special;2009;2.39
Good Morning Althea;OVA;1987;2.39
Pokemon XY: New Year's Eve 2014 Super Mega Special;TV Special;2014;2.39
Buddha Saitan;Movie;2009;2.39
Poppin' Party: Yes! BanG_Dream!;Music Video;2016;2.39
Enemy's the Pirates, The;OVA;1989;2.39
Homeroom Affairs;OVA;1994;2.39
Ketsuekigata-kun! 4;TV;2016;2.39
Ga-Ra-Ku-Ta: Mr. Stain on Junk Alley;TV;2003;2.39
Bakumatsu Gijinden Roman;TV;2013;2.39
Miss Monochrome: Supporter;Web;2014;2.39
Dai Yamato Zero-gou;OVA;2004;2.39
Chou Kousoku Galvion;TV;1984;2.39
Youkai Ningen Bem;TV;1968;2.39
Melty Lancer;OVA;1999;2.39
Element Hunters;TV;2009;2.39
G.I. Joe: Sigma 6;TV;2005;2.39
Memories Off;OVA;2001;2.39
Rio: Rainbow Gate! Special;DVD Special;2011;2.39
Minna Atsumare! Falcom Gakuen SC;TV;2015;2.39
Gakkatsu!;TV;2012;2.39
End of the World;OVA;2002;2.39
Kino's Journey -the Beautiful World- the Animated Series: On Your Way;DVD Special;2017;2.39
Mahou Tsukai Sally Movie;Movie;1990;2.39
Ace wo Nerae! Final Stage;OVA;1989;2.39
Chocotan!;Other;2013;2.39
True Tears: Raigomaru to Jibeta no Monogatari;Other;2010;2.38
High School Aurabuster;OVA;1999;2.38
The Doraemons: Mushimushi Pyonpyon Daisakusen!;Movie;1998;2.38
DRAMAtical Murder: Data_xx_Transitory;DVD Special;2014;2.38
Pretty Rhythm All Stars Selection Prism Show☆Best Ten Movie;Movie;2014;2.38
Ladius;Movie;1987;2.38
One Room 2nd Season;TV;2018;2.38
Bonobono Movie 1;Movie;1993;2.38
Cross Fight B-Daman eS;TV;2012;2.38
Samurai: Hunt for the Sword;OVA;1999;2.38
Kojika Monogatari;TV;1983;2.38
Music Girls;TV;2018;2.38
Pokemon: Slowking's Day;Other;1999;2.38
Legend of the Last Labyrinth;OVA;1997;2.38
